title,description,audio_url,release_date,is_recurring
"Elijah: A Prophet of Courage, Weakness, and the God Who Answers by Fire","Elijah: A Prophet of Courage, Weakness, and the God Who Answers by Fire",https://dl.dropboxusercontent.com/scl/fi/qw7g7tcz58w2xsgo8rdhd/Elijah__A_Prophet_of_Courage-_Weakness-_and_the_God_Who_Answers_by_Fire.mp3?rlkey=oznff4y3705kjwitykfi6q7kf&st=nh1my0ic,2025-05-14 21:07,TRUE
Elisha: Prophet of God’s Power and Faithfulness,Elisha: Prophet of God’s Power and Faithfulness,https://dl.dropboxusercontent.com/scl/fi/47rt1tw4org760kks0qzi/Elisha_is_one_of_Scripture-s_great_prophets-_a_man_through_whom_God_worked_astounding_miracles_of_mercy_-_judgment_in_ancient_Israel._His_story_unfolds_in_1_Kings_19_through_2_Kings_13-_during_the_tumultuous_years_of_the_9th_century_B.C._.mp3?rlkey=8kn3zrg1zmumleeipko9wc1d8&st=o8zwvzxv,2025-05-21 02:47,TRUE
Jehoshaphat: A Faithful King in a Compromised Kingdom,Jehoshaphat: A Faithful King in a Compromised Kingdom,https://dl.dropboxusercontent.com/scl/fi/d7xgyurzmezqkweae8rah/Jehoshaphat__A_Faithful_King_in_a_Compromised_Kingdom.mp3?rlkey=mn7g0aqcta8479sggit1titkg&st=mp4ivxzc,2025-06-03 10:28,TRUE
King Hezekiah: Trusting the Sovereign God in Life’s Highs and Lows,King Hezekiah: Trusting the Sovereign God in Life’s Highs and Lows,https://dl.dropboxusercontent.com/scl/fi/d9xb7vouxnqdp86krl15g/King_Hezekiah__Trusting_the_Sovereign_God_in_Life-s_Highs_and_Lows.mp3?rlkey=8tmqpt64tn4g237sxqppl988a&st=rho3q1k2,2025-06-10 14:01,TRUE
Josiah: Judah’s Reformer King and His Legacy of Faith,Josiah: Judah’s Reformer King and His Legacy of Faith,https://dl.dropboxusercontent.com/scl/fi/afn0dx6chqm6nkqwitpbp/Josiah__Judah-s_Reformer_King_and_His_Legacy_of_Faith.mp3?rlkey=angrmsm1oygi9w4itersr4s4c&st=88x9m01v,2025-06-17 17:57,TRUE
Jeremiah: Prophet of Judgment and Hope,Jeremiah: Prophet of Judgment and Hope,https://dl.dropboxusercontent.com/scl/fi/5l7lmxk3iqyn53fbt7qqg/Jeremiah__Prophet_of_Judgment_and_Hope.mp3?rlkey=se1ag1llnjpaaphsmajhu8i5s&st=0o8nqivd,2025-06-24 14:15,TRUE
Daniel: Faithful Exile and Prophet of God's Sovereignty,Daniel: Faithful Exile and Prophet of God's Sovereignty,https://dl.dropboxusercontent.com/scl/fi/xuu4b5g09vqmuwlskhvn3/Daniel__Faithful_Exile_and_Prophet_of_God-s_Sovereignty.mp3?rlkey=kom9g3dd86k9cmlsfcga73qtu&st=g7652zy3,2025-07-01 21:09,TRUE
"Shadrach, Meshach, and Abednego (Daniel 3) – Fiery furnace faith.","Shadrach, Meshach, and Abednego (Daniel 3) – Fiery furnace faith.",https://dl.dropboxusercontent.com/scl/fi/wtz0wa04lz1gxkppouxpa/Standing_Firm_in_the_Fire__The_Story_of_Shadrach-_Meshach-_and_Abednego.mp3?rlkey=ltq9hp5dzymkvshm4voni261d&st=bovuicek,2025-07-08 16:08,TRUE
Ezra (Book of Ezra) – The priest who led spiritual revival.,Ezra (Book of Ezra) – The priest who led spiritual revival.,https://dl.dropboxusercontent.com/scl/fi/f3r3a2xgvbxyl0hv6pzmy/Ezra__Scribe_of_God-s_Faithfulness.mp3?rlkey=xfrl85c5i52xmx3z8dx1ry1do&st=6i4ls7iu,2025-07-15 16:09,TRUE
Nehemiah (Book of Nehemiah) – Rebuilder of Jerusalem’s walls.,Nehemiah (Book of Nehemiah) – Rebuilder of Jerusalem’s walls.,https://dl.dropboxusercontent.com/scl/fi/jhbwdpj82z3ia8hvqmau6/From_Rubble_to_Revival__The_Life_and_Legacy_of_Nehemiah.mp3?rlkey=860odne5mi3dq1ph1yehy51m6&st=7bzsvrik,2025-07-22 16:09,TRUE
Esther (Book of Esther) – A queen who saved her people.,Esther (Book of Esther) – A queen who saved her people.,https://dl.dropboxusercontent.com/scl/fi/yjcumh27cc08s2tgnsnrt/Esther__A_Story_of_Providence_and_Courage.mp3?rlkey=oxq1jxre5sxts836izudmnoht&st=oudq73ue,2025-07-29 16:10,TRUE
Hosea (Book of Hosea) – The prophet of God’s unfailing love.,Hosea (Book of Hosea) – The prophet of God’s unfailing love.,https://dl.dropboxusercontent.com/scl/fi/cbxpz7nmrjnns3wd812fv/Hosea__Prophet_of_Redeeming_Love_-_A_Devotional_Biography.mp3?rlkey=a5mzxosg0bd8b9vhwupnu7g76&st=a3yq3rrp,2025-08-05 16:10,TRUE
John the Baptist (Gospels) – The forerunner of Christ.,John the Baptist (Gospels) – The forerunner of Christ.,https://dl.dropboxusercontent.com/scl/fi/yrg77rfepxphzsd9xjet7/The_Life_and_Ministry_of_John_the_Baptist__Forerunner_of_the_Messiah.mp3?rlkey=t6mk9t86nfwhm3rg9bziodcfa&st=xzg96tvg,2025-08-12 16:11,TRUE
Mary (Mother of Jesus) (Gospels) – The humble servant of God.,Mary (Mother of Jesus) (Gospels) – The humble servant of God.,https://dl.dropboxusercontent.com/scl/fi/qwb6fdram7h87jixea8hl/Mary-_the_Mother_of_Jesus_-_A_Story_of_Humble_Faith_and_Surrender.mp3?rlkey=ayu60lgf57vsuz18i47ifd2dq&st=a8nhzyvf,2025-08-19 16:12,TRUE
Joseph (Husband of Mary) (Gospels) – A righteous man who obeyed God.,Joseph (Husband of Mary) (Gospels) – A righteous man who obeyed God.,https://dl.dropboxusercontent.com/scl/fi/h26bhpynz98ju9nntdh3m/Joseph__A_Quiet_Servant_in_God-s_Redemptive_Plan.mp3?rlkey=2wozca591fzp1f26siqx6afbh&st=txzcolfa,2025-08-26 16:13,TRUE
Herod the Great (Matthew 2) – The king who tried to kill Jesus.,Herod the Great (Matthew 2) – The king who tried to kill Jesus.,https://dl.dropboxusercontent.com/scl/fi/1aqydu0bap96sjhakrixw/Herod_the_Great__The_King_Who_Met_the_True_King.mp3?rlkey=ad6791avwdbe06vc5ctfb4uot&st=re8jrvo3,2025-09-02 16:14,TRUE
"The Apostle Peter: A Journey of Grace, Transformation, and Hope","The Apostle Peter: A Journey of Grace, Transformation, and Hope",https://dl.dropboxusercontent.com/scl/fi/ir05xa2vt7b358fbjo717/The_Apostle_Peter__A_Journey_of_Grace-_Transformation-_and_Hope.mp3?rlkey=ykn5lbeeq0pntw9evtwd6biq4&st=uq7tuecp,2025-09-09 16:17,TRUE
