title,description,audio_url,release_date,is_recurring
August 14 Trying to Decide,August 14 Trying to Decide,https://www.dropbox.com/scl/fi/2w0ptsn1srecxt1l8c7p3/Tozer-August_14-Trying_to_Decide.mp3?rlkey=e72klzek3v4xvmc2gprxgbjr9&st=htke5rdk&dl=0,8/14/2025 3:30,TRUE
August 15 Gospel Implications,August 15 Gospel Implications,https://www.dropbox.com/scl/fi/ltjvbrrqgwdkxq2wyjd24/Tozer-August_15-Gospel_Implications.mp3?rlkey=d7ngy6byzez264ykfn0ha8jia&st=pgb8qx6t&dl=0,8/15/2025 3:30,TRUE
August 16 Such a Short Time,August 16 Such a Short Time,https://www.dropbox.com/scl/fi/djee8z6a17cyegov84nsa/Tozer-August_16-Such_a_Short_Time.mp3?rlkey=rmpqbki05gjkdkdnd1u0f2bpj&st=ykc1j5v1&dl=0,8/16/2025 3:30,TRUE
"August 17 ""I Gave It All Up!""","August 17 ""I Gave It All Up!""",https://www.dropbox.com/scl/fi/0y5fnazoxry45zxrb7620/Tozer-August_17-I_Gave_It_All_Up.mp3?rlkey=peutd01jpnk2kr63juzm9al55&st=3t0iesz2&dl=0,8/17/2025 3:30,TRUE
August 18 A Bond of Compassion,August 18 A Bond of Compassion,https://www.dropbox.com/scl/fi/56dinayjalxikxpsvcbfm/Tozer-August_18-A_Bond_of_Compassion.mp3?rlkey=acd21pasp20l5s600isetouar&st=5mnnkmqy&dl=0,8/18/2025 3:30,TRUE
August 19 Conviction and Pain,August 19 Conviction and Pain,https://www.dropbox.com/scl/fi/8lmkdij9p3b75terlsake/Tozer-August_19-Conviction_and_Pain.mp3?rlkey=vr7if2fbrdmvr0rpn56s88k5n&st=q2zzauer&dl=0,8/19/2025 3:30,TRUE
August 20 Saved to Worship,August 20 Saved to Worship,https://www.dropbox.com/scl/fi/8lmkdij9p3b75terlsake/Tozer-August_19-Conviction_and_Pain.mp3?rlkey=vr7if2fbrdmvr0rpn56s88k5n&st=q2zzauer&dl=0,8/20/2025 3:30,TRUE
August 21 Too Easily Converted,August 21 Too Easily Converted,https://www.dropbox.com/scl/fi/s2zrgw1toe8l3qbaijfc8/Tozer-August_21-Too_Easily_Converted.mp3?rlkey=4v36ipv4f1n7cbip59cvchxe8&st=77ap04w2&dl=0,8/21/2025 3:30,TRUE
August 22 The Longing After Eternity,August 22 The Longing After Eternity,https://www.dropbox.com/scl/fi/6wdtf09s9vqtqk5lyvefy/Tozer-August_22-The_Longing_After_Eternity.mp3?rlkey=vsnjunzqm8mi3saa2gnw65qrj&st=56dx83gd&dl=0,8/22/2025 3:30,TRUE
August 23 The Right Road to the Desired Destination,August 23 The Right Road to the Desired Destination,https://www.dropbox.com/scl/fi/wqr55b6vqzalnbsfhr2ll/Tozer-August_23-The_Right_Road_to_the_Desired_Destination.mp3?rlkey=xxed2cj72wt70myed0kf44wc3&st=nn3pafit&dl=0,8/23/2025 3:30,TRUE
August 24 Unconvincing Testimony,August 24 Unconvincing Testimony,https://www.dropbox.com/scl/fi/pymagy9ne59npuedhjrc4/Tozer-August_24-Unconvincing_Testimony.mp3?rlkey=2vntl355o7y9mmt0qtjotsz47&st=d8g87zfh&dl=0,8/24/2025 3:30,TRUE
August 25 Only the Spirit Can Give Sight,August 25 Only the Spirit Can Give Sight,https://www.dropbox.com/scl/fi/xd5qv11p8bsyp9p6w3zit/Tozer-August_25-Only_the_Spirit_Can_Give_Sight.mp3?rlkey=q61c60hx90pd7rzfa6l17tdfg&st=waqg07te&dl=0,8/25/2025 3:30,TRUE
August 26 Sovereign Calling,August 26 Sovereign Calling,https://www.dropbox.com/scl/fi/k4ax9stjtw53zmypi612m/Tozer-August_26-Sovereign_Calling.mp3?rlkey=dok2z7n8qpo2lllcf8879tgy6&st=ne73aiu3&dl=0,8/26/2025 3:30,TRUE
August 27 Trusting the Lifeboat,August 27 Trusting the Lifeboat,https://www.dropbox.com/scl/fi/rlhpjcvt8gym296xdsqff/Tozer-August_27-Trusting_the_Lifeboat.mp3?rlkey=0b1nadhqygmqe5oux3te4il5q&st=ls7exadv&dl=0,8/27/2025 3:30,TRUE
August 28 Believe the Right Things,August 28 Believe the Right Things,https://www.dropbox.com/scl/fi/upbhapnuhw6xgx1xyjn2w/Tozer-August_28-Believe_the_Right_Things.mp3?rlkey=rsq0idfhi2gkez0uq4mgz1ypb&st=vo3z0a9b&dl=0,8/28/2025 3:30,TRUE
August 29 Salvation Apart from Obedience,August 29 Salvation Apart from Obedience,https://www.dropbox.com/scl/fi/4unwpfg0zbybido7p2cjl/Tozer-August_29-Salvation_Apart_from_Obedience.mp3?rlkey=c3sbcc6mkh5nbt0gs2yfgtttm&st=gv9cq4wx&dl=0,8/29/2025 3:30,TRUE
August 30 Modern Salesmanship,August 30 Modern Salesmanship,https://www.dropbox.com/scl/fi/2xeli7ryhrjewtkd8ie7i/Tozer-August_30-Modern_Salesmanship.mp3?rlkey=b7txts1wiyewird4qq3x4qli0&st=hmqpyo3c&dl=0,8/30/2025 3:30,TRUE
August 31 Coming Home,August 31 Coming Home,https://www.dropbox.com/scl/fi/2f5ao0zn34l2izr6x01e0/Tozer-August_31-Coming_Home.mp3?rlkey=1hxky8m450rtyv84if8el40gf&st=yiv8b9pm&dl=0,8/31/2025 3:30,TRUE
